natural_earth,turkish,a3
Hania,Hanya,
Herat,Herat,
Hofuf,Hüfuf,
Homs,Humus,
Iași,Yaş,
Icel,Mersin,
Idlib,İdlib,
Ioanina,Yanya,
Iraklio,Kandiye,
Irbid,İrbid,
Irbil,Erbil,
Isfahan,İsfahan,
Islamabad,İslamabad,
Istanbul,İstanbul,
Izmayil,İsmail,
İzmit,İzmit,
Jalal Abad,Celalabad,
Jerusalem,Kudüs,
Kabul,Kâbil,
Kandahar,Kandahar,
Karachi,Karaçi,
Karaj,Kerec,
Karbala,Kerbela,
Kavala,Kavala,
Kerch,Kerç,
Kerman,Kirman,
Kermanshah,Kirmanşah,
Kherson,Herson,
Khiwa,Hive,
Khorramabad,Hürremabad,
Khujand,Hocent,
Khvoy,Hoy,
Kirkuk,Kerkük,
Kondoz,Kunduz,
Konibodom,Kanibadam,
Kos,İstanköy,
Krasnodar,Krasnodar,
Kryvyy Rih,Kriviy Rih,
Kutaisi,Kutaisi,
Kuwait City,Kuveyt,
Kyrenia,Girne,
Larissa,Larisa,
Larnaka,Larnaka,
Latakia,Lazkiye,
Lemosos,Limasol,
Luxor,Luksor,
Madinat ath Thawrah,Tabka,
Mahabad,Mahabad,
Makhachkala,Mahaçkale,
Manama,Manama,
Manbij,Münbiç,
Maragheh,Merağa,
Mariupol,Mariupol,
Mary,Merv,
Mashhad,Meşhed,
Mazar-i-Sharif,Mezar-ı Şerif,
Medina,Medine,
Melitopol,Melitopol,
Misrata,Misrata,
Mostar,Mostar,
Mosul,Musul,
Multan,Multan,
Muscat,Maskat,
Mykolayiv,Mikolayiv,
Nablus,Nablus,
Najaf,Necef,
Nalchik,Nalçik,
Namangan,Nemengan,
Naxcivan,Nahçıvan,
Nazareth,Nasıra,
Neyshabur,Nişabur,
Nicosia,Lefkoşa,
Niš,Niş,
Novi Sad,Novi Sad,
Novorossiysk,Novorossiysk,
Nukus,Nukus,
Odessa,Odesa,
Osh,Oş,
Patra,Patra,
Pec,İpek,
Peshawar,Peşaver,
Piraeus,Pire,
Pleven,Plevne,
Plovdiv,Filibe,
Podgorica,Podgoritsa,
Poti,Poti,
Pristina,Priştine,
Prizren,Prizren,
Qarshi,Karşı,
Qazvin,Kazvin,
Qom,Kum,
Qoqon,Hokand,
Quetta,Kuetta,
Qurghonteppa,Kurgantepe,
Qyzylorda,Kızılorda,
Rasht,Reşt,
Rawalpindi,Ravalpindi,
Riyadh,Riyad,
Rodos,Rodos,
Rostov,Rostov,
Ruse,Rusçuk,
Sabha,Sebha,
Sabzewar,Sebzevar,
Saida,Sayda,
Saki,Şeki,
Samandagi,Samandağ,
Samarkand,Semerkant,
Samarra,Samerra,
Sanandaj,Senendec,
Sarajevo,Saraybosna,
Semnan,Simnan,
Sevastopol,Sivastopol,
Shahrisabz,Şehrisebz,
Sharjah,Şarika,
Shiraz,Şiraz,
Shkodër,İşkodra,
Shumen,Şumnu,
Shymkent,Çimkent,
Simferopol,Akmescit,
Skopje,Üsküp,
Sochi,Soçi,
Sofia,Sofya,
Subotica,Subotica,
Suez,Süveyş,
Sukhumi,Sohum,
Sumqayt,Sumgayıt,
Surt,Sirte,
Tabriz,Tebriz,
Tabuk,Tebük,
Tall Afar,Telafer,
Taraz,Taraz,
Tartus,Tartus,
Tashkent,Taşkent,
Tbilisi,Tiflis,
Tehran,Tahran,
Tel Aviv,Tel Aviv,
Termiz,Termez,
Tetovo,Kalkandelen,
Thessaloniki,Selanik,
Timișoara,Temeşvar,
Tirana,Tiran,
Tripoli,Trablusgarp,LBY
Tskhinvali,Tshinvali,
Tubruq,Tobruk,
Tulcea,Tulça,
Turkistan,Türkistan,
Tuzla,Tuzla,
Türkmenabat,Türkmenabat,
Türkmenbaşy,Türkmenbaşı,
Urgentch,Ürgenç,
Urmia,Urmiye,
Valletta,Valetta,
Vanadzor,Vanadzor,
Varna,Varna,
Vladikavkaz,Vladikafkas,
Vlorë,Avlonya,
Volos,Volos,
Xanthi,İskeçe,
Yalta,Yalta,
Yazd,Yezd,
Yerevan,Erivan,
Zahedan,Zahidan,
Zahlé,Zahle,
Zakho,Zaho,
Zanjan,Zencan,
Zaporizhzhya,Zaporijya,
Zenica,Zenitsa,
Şirvan,Şirvan,
Ṭarābulus,Trablusşam,
